schema_version,model,rank,k,mean,se,seasons,shuffle_sd,era
1,historical-rate,rank_available,10,-0.174167444756,0.0222398167057,7,0,2019-2025 retrospective
1,historical-rate,rank_in_slot,1,-0.280174291939,0.0769913832489,15,0,all retrospective
1,historical-rate,rank_in_slot,1,-0.245098039216,0.0836006587166,8,0,2011-2018 retrospective
1,historical-rate,rank_in_slot,1,-0.320261437908,0.140774373615,7,0,2019-2025 retrospective
1,historical-rate,rank_in_slot,3,-0.211014282256,0.0447684990004,15,0,all retrospective
1,historical-rate,rank_in_slot,3,-0.172385620915,0.0460000177109,8,0,2011-2018 retrospective
1,historical-rate,rank_in_slot,3,-0.255161323789,0.0811831670303,7,0,2019-2025 retrospective
1,historical-rate,rank_in_slot,5,-0.178736383442,0.0336196259107,15,0,all retrospective
1,historical-rate,rank_in_slot,5,-0.113235294118,0.0353597079613,8,0,2011-2018 retrospective
1,historical-rate,rank_in_slot,5,-0.253594771242,0.0472560783469,7,0,2019-2025 retrospective
1,historical-rate,rank_in_slot,10,-0.154117647059,0.0185165417618,15,0,all retrospective
1,historical-rate,rank_in_slot,10,-0.125,0.0269633306667,8,0,2011-2018 retrospective
1,historical-rate,rank_in_slot,10,-0.187394957983,0.0199723289515,7,0,2019-2025 retrospective
1,no-vegas,rank_available,1,-0.0368191721133,0.0217114591308,15,0,all retrospective
1,no-vegas,rank_available,1,-0.0343137254902,0.0281596208164,8,0,2011-2018 retrospective
1,no-vegas,rank_available,1,-0.0396825396826,0.036015128495,7,0,2019-2025 retrospective
1,no-vegas,rank_available,3,-0.0113289760349,0.0152654898224,15,0,all retrospective
1,no-vegas,rank_available,3,-0.00245098039215,0.0265185988971,8,0,2011-2018 retrospective
1,no-vegas,rank_available,3,-0.0214752567694,0.0139770111072,7,0,2019-2025 retrospective
1,no-vegas,rank_available,5,-0.0116194625999,0.00981854258202,15,0,all retrospective
1,no-vegas,rank_available,5,-0.021568627451,0.0133193203675,8,0,2011-2018 retrospective
1,no-vegas,rank_available,5,-0.0002489884843,0.0143205248368,7,0,2019-2025 retrospective
1,no-vegas,rank_available,10,-0.0103267973856,0.00415696757646,15,0,all retrospective
1,no-vegas,rank_available,10,-0.0107843137255,0.0054207289861,8,0,2011-2018 retrospective
1,no-vegas,rank_available,10,-0.00980392156863,0.00686566745572,7,0,2019-2025 retrospective
1,no-vegas,rank_in_slot,1,0.00697167755989,0.0315217960389,15,0,all retrospective
1,no-vegas,rank_in_slot,1,-6.25055562864e-14,0.0385090394535,8,0,2011-2018 retrospective
1,no-vegas,rank_in_slot,1,0.014939309057,0.0545070467908,7,0,2019-2025 retrospective
1,no-vegas,rank_in_slot,3,-0.0190026627935,0.0123736517459,15,0,all retrospective
1,no-vegas,rank_in_slot,3,-0.0220588235294,0.0201427769858,8,0,2011-2018 retrospective
1,no-vegas,rank_in_slot,3,-0.0155099076668,0.0148576144834,7,0,2019-2025 retrospective
1,no-vegas,rank_in_slot,5,-0.00206245461146,0.0100384815781,15,0,all retrospective
1,no-vegas,rank_in_slot,5,0.0127450980392,0.0143658159641,8,0,2011-2018 retrospective
1,no-vegas,rank_in_slot,5,-0.0189853719265,0.0117979370067,7,0,2019-2025 retrospective
1,no-vegas,rank_in_slot,10,-0.0137545388526,0.00568606847314,15,0,all retrospective
1,no-vegas,rank_in_slot,10,-0.0105392156863,0.00848993973647,8,0,2011-2018 retrospective
1,no-vegas,rank_in_slot,10,-0.0174291938998,0.00783145722272,7,0,2019-2025 retrospective
1,player-vegas,rank_available,1,-0.0293391430645,0.0468317251769,15,0,all retrospective
1,player-vegas,rank_available,1,0.00735294117664,0.0809247830309,8,0,2011-2018 retrospective
1,player-vegas,rank_available,1,-0.0712729536259,0.0410460453731,7,0,2019-2025 retrospective
1,player-vegas,rank_available,3,-0.0712418300653,0.0282315660175,15,0,all retrospective
1,player-vegas,rank_available,3,-0.0490196078432,0.0350886226407,8,0,2011-2018 retrospective
1,player-vegas,rank_available,3,-0.0966386554621,0.046280981417,7,0,2019-2025 retrospective
1,player-vegas,rank_available,5,-0.0593754538852,0.01788511566,15,0,all retrospective
1,player-vegas,rank_available,5,-0.043137254902,0.020078387605,8,0,2011-2018 retrospective
1,player-vegas,rank_available,5,-0.0779333955803,0.0308907832119,7,0,2019-2025 retrospective
1,player-vegas,rank_available,10,-0.0632461873638,0.0110665782374,15,0,all retrospective
1,player-vegas,rank_available,10,-0.0531862745098,0.0185700039273,8,0,2011-2018 retrospective
1,player-vegas,rank_available,10,-0.0747432306256,0.0105472981737,7,0,2019-2025 retrospective
1,player-vegas,rank_in_slot,1,0.00428467683373,0.028596925932,15,0,all retrospective
1,player-vegas,rank_in_slot,1,0.0073529411765,0.0274653573796,8,0,2011-2018 retrospective
1,player-vegas,rank_in_slot,1,0.000778089013429,0.0554912951708,7,0,2019-2025 retrospective
1,player-vegas,rank_in_slot,3,-0.0155410312273,0.0174249499161,15,0,all retrospective
1,player-vegas,rank_in_slot,3,-0.0187908496732,0.0323851686624,8,0,2011-2018 retrospective
