schema_version,model,strategy,tds_per_season,se,seasons,shuffle_sd,delta_vs_baseline_greedy,paired_se,era
1,shipped,random,48.6,1.70768570767,7,7.21804541159,-8.25714285714,3.53532224859,2019-2025 retrospective
1,vegas-environment,greedy,46.6,2.16200964713,15,0,-7.13333333333,2.39616095068,all retrospective
1,vegas-environment,greedy,45.25,2.6909238987,8,0,-5.75,2.41091269025,2011-2018 retrospective
1,vegas-environment,greedy,48.1428571429,3.60177582807,7,0,-8.71428571429,4.49186717839,2019-2025 retrospective
1,vegas-environment,optimizer,45.8666666667,2.29049104044,15,0,-7.86666666667,2.44533894168,all retrospective
1,vegas-environment,optimizer,44.75,2.78227810051,8,0,-6.25,2.35849528301,2011-2018 retrospective
1,vegas-environment,optimizer,47.1428571429,3.92445671963,7,0,-9.71428571429,4.62763070981,2019-2025 retrospective
1,within-player,greedy,50.3966666667,1.56787288924,15,5.03730666329,-3.33666666667,1.48946672038,all retrospective
1,within-player,greedy,48.73125,2.08502178603,8,4.72545320077,-2.26875,1.65426768163,2011-2018 retrospective
1,within-player,greedy,52.3,2.31573293962,7,5.39371062046,-4.55714285714,2.64164064667,2019-2025 retrospective
1,within-player,optimizer,50.1666666667,0.976627660525,15,5.99681520226,-3.56666666667,1.87781323344,all retrospective
1,within-player,optimizer,48.89375,1.13308355747,8,5.88451438395,-2.10625,2.39455180529,2011-2018 retrospective
1,within-player,optimizer,51.6214285714,1.54784247471,7,6.12515899461,-5.23571428571,3.01913962606,2019-2025 retrospective
