schema_version,model,seed,season,actual,proj,played,candidates,covered_cells,total_cells,empty_cells,k,rank,units
1,cal-level-pooled,-1,2017,0.898039215686,0.971792924896,0.976470588235,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2017,0.780392156863,0.865450636122,0.947058823529,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2017,0.921568627451,1.45500339851,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2017,0.97385620915,1.29486393917,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2017,0.909803921569,1.21196682451,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2017,0.905882352941,1.07218704861,0.966666666667,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2017,0.901960784314,1.12833010462,0.980392156863,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2017,0.947712418301,1.03126217012,0.986928104575,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2017,0.870588235294,0.966659946617,0.976470588235,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2017,0.788235294118,0.860765516709,0.950980392157,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2017,0.921568627451,1.4599717505,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2017,0.967320261438,1.29656966211,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2017,0.929411764706,1.21144480995,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2017,0.905882352941,1.06964902393,0.96862745098,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.882352941176,0.952910494858,0.980392156863,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.941176470588,0.887033127924,0.993464052288,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.898039215686,0.841080461032,0.976470588235,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.780392156863,0.762869511094,0.947058823529,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.921568627451,1.1819656721,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.97385620915,1.07029291771,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.909803921569,1.01195304815,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2017,0.905882352941,0.912512606535,0.966666666667,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.901960784314,0.923404618439,0.980392156863,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.947712418301,0.86449820087,0.986928104575,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.874509803922,0.824394517677,0.976470588235,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.788235294118,0.756876773503,0.950980392157,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.941176470588,1.11621776846,0.960784313725,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.967320261438,1.0232589509,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.925490196078,0.973437217582,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2017,0.907843137255,0.887904978359,0.96862745098,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,shipped,-1,2017,0.882352941176,1.22158686998,0.980392156863,51,51,51,0,1,rank_available,TDs per ranked candidate
1,shipped,-1,2017,0.941176470588,1.12115602269,0.993464052288,153,51,51,0,3,rank_available,TDs per ranked candidate
1,shipped,-1,2017,0.898039215686,1.05232861477,0.976470588235,255,51,51,0,5,rank_available,TDs per ranked candidate
1,shipped,-1,2017,0.780392156863,0.937173389236,0.947058823529,510,51,51,0,10,rank_available,TDs per ranked candidate
1,shipped,-1,2017,0.921568627451,1.57558433656,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,shipped,-1,2017,0.97385620915,1.40217359122,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,shipped,-1,2017,0.909803921569,1.31240651883,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,shipped,-1,2017,0.905882352941,1.16104273115,0.966666666667,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2018,1.19607843137,1.16958558173,1,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2018,1.0522875817,1.06259326777,1,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2018,0.964705882353,0.996540695035,0.988235294118,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2018,0.864705882353,0.884407247311,0.954901960784,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-level-pooled,-1,2018,1.39215686275,1.61391563482,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2018,1.37908496732,1.42881158024,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-level-pooled,-1,2018,1.27058823529,1.31455267722,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
