schema_version,model,seed,season,spearman,slot_weeks
1,cal-level-pooled,-1,2016,0.397339967181,51
1,cal-level-position,-1,2016,0.398276561445,51
1,cal-logaffine-pooled,-1,2016,0.397339980568,51
1,cal-logaffine-position,-1,2016,0.398250223589,51
1,shipped,-1,2016,0.397339967181,51
1,cal-level-pooled,-1,2017,0.362727131047,51
1,cal-level-position,-1,2017,0.362512185346,51
1,cal-logaffine-pooled,-1,2017,0.362727132891,51
1,cal-logaffine-position,-1,2017,0.361787032938,51
1,shipped,-1,2017,0.362727131047,51
1,cal-level-pooled,-1,2018,0.383377736624,51
1,cal-level-position,-1,2018,0.384393206695,51
1,cal-logaffine-pooled,-1,2018,0.383377736624,51
1,cal-logaffine-position,-1,2018,0.384741175527,51
1,shipped,-1,2018,0.383377736624,51
1,cal-level-pooled,-1,2019,0.393106723528,51
1,cal-level-position,-1,2019,0.393312079141,51
1,cal-logaffine-pooled,-1,2019,0.393106723528,51
1,cal-logaffine-position,-1,2019,0.392861486461,51
1,shipped,-1,2019,0.393106723528,51
1,cal-level-pooled,-1,2020,0.408454065618,51
1,cal-level-position,-1,2020,0.408953834215,51
1,cal-logaffine-pooled,-1,2020,0.408454068145,51
1,cal-logaffine-position,-1,2020,0.408903508722,51
1,shipped,-1,2020,0.408454065618,51
1,cal-level-pooled,-1,2021,0.383098933677,54
1,cal-level-position,-1,2021,0.383525197509,54
1,cal-logaffine-pooled,-1,2021,0.383098934961,54
1,cal-logaffine-position,-1,2021,0.38350912326,54
1,shipped,-1,2021,0.383098933677,54
1,cal-level-pooled,-1,2022,0.382355068634,54
1,cal-level-position,-1,2022,0.383014473324,54
1,cal-logaffine-pooled,-1,2022,0.382355068634,54
1,cal-logaffine-position,-1,2022,0.383240570912,54
1,shipped,-1,2022,0.382355068634,54
1,cal-level-pooled,-1,2023,0.372280704695,54
1,cal-level-position,-1,2023,0.372851195337,54
1,cal-logaffine-pooled,-1,2023,0.372280704695,54
1,cal-logaffine-position,-1,2023,0.373211107008,54
1,shipped,-1,2023,0.372280704695,54
1,cal-level-pooled,-1,2024,0.385836833165,54
1,cal-level-position,-1,2024,0.386545273193,54
1,cal-logaffine-pooled,-1,2024,0.385836833165,54
1,cal-logaffine-position,-1,2024,0.386684691145,54
1,shipped,-1,2024,0.385836833165,54
1,cal-level-pooled,-1,2025,0.407301898791,54
1,cal-level-position,-1,2025,0.406920549038,54
1,cal-logaffine-pooled,-1,2025,0.407308753452,54
1,cal-logaffine-position,-1,2025,0.406123670861,54
1,shipped,-1,2025,0.407301898791,54
