schema_version,model,seed,season,k,rank,delta,covered_cells,jointly_empty_cells,total_cells
1,cal-level-pooled,-1,2021,1,rank_available,0,54,0,54
1,cal-level-pooled,-1,2021,3,rank_available,0,54,0,54
1,cal-level-pooled,-1,2021,5,rank_available,0,54,0,54
1,cal-level-pooled,-1,2021,10,rank_available,0,54,0,54
1,cal-level-pooled,-1,2021,1,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2021,3,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2021,5,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2021,10,rank_in_slot,0,54,0,54
1,cal-level-position,-1,2021,1,rank_available,0,54,0,54
1,cal-level-position,-1,2021,3,rank_available,0.0308641975309,54,0,54
1,cal-level-position,-1,2021,5,rank_available,-0.0111111111111,54,0,54
1,cal-level-position,-1,2021,10,rank_available,5.1399214103e-19,54,0,54
1,cal-level-position,-1,2021,1,rank_in_slot,0,54,0,54
1,cal-level-position,-1,2021,3,rank_in_slot,-0.00617283950617,54,0,54
1,cal-level-position,-1,2021,5,rank_in_slot,0.0037037037037,54,0,54
1,cal-level-position,-1,2021,10,rank_in_slot,0.00185185185185,54,0,54
1,cal-logaffine-pooled,-1,2021,1,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2021,3,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2021,5,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2021,10,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2021,1,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2021,3,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2021,5,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2021,10,rank_in_slot,0,54,0,54
1,cal-logaffine-position,-1,2021,1,rank_available,0,54,0,54
1,cal-logaffine-position,-1,2021,3,rank_available,0.037037037037,54,0,54
1,cal-logaffine-position,-1,2021,5,rank_available,-0.0111111111111,54,0,54
1,cal-logaffine-position,-1,2021,10,rank_available,0.00555555555556,54,0,54
1,cal-logaffine-position,-1,2021,1,rank_in_slot,0,54,0,54
1,cal-logaffine-position,-1,2021,3,rank_in_slot,-1.02798428206e-18,54,0,54
1,cal-logaffine-position,-1,2021,5,rank_in_slot,0.0111111111111,54,0,54
1,cal-logaffine-position,-1,2021,10,rank_in_slot,0.012962962963,54,0,54
1,cal-level-pooled,-1,2022,1,rank_available,0,54,0,54
1,cal-level-pooled,-1,2022,3,rank_available,0,54,0,54
1,cal-level-pooled,-1,2022,5,rank_available,0,54,0,54
1,cal-level-pooled,-1,2022,10,rank_available,0,54,0,54
1,cal-level-pooled,-1,2022,1,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2022,3,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2022,5,rank_in_slot,0,54,0,54
1,cal-level-pooled,-1,2022,10,rank_in_slot,0,54,0,54
1,cal-level-position,-1,2022,1,rank_available,0,54,0,54
1,cal-level-position,-1,2022,3,rank_available,-0.0123456790123,54,0,54
1,cal-level-position,-1,2022,5,rank_available,0.0185185185185,54,0,54
1,cal-level-position,-1,2022,10,rank_available,0.00185185185185,54,0,54
1,cal-level-position,-1,2022,1,rank_in_slot,-0.0185185185185,54,0,54
1,cal-level-position,-1,2022,3,rank_in_slot,0.0185185185185,54,0,54
1,cal-level-position,-1,2022,5,rank_in_slot,-0.0111111111111,54,0,54
1,cal-level-position,-1,2022,10,rank_in_slot,-0.0037037037037,54,0,54
1,cal-logaffine-pooled,-1,2022,1,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2022,3,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2022,5,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2022,10,rank_available,0,54,0,54
1,cal-logaffine-pooled,-1,2022,1,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2022,3,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2022,5,rank_in_slot,0,54,0,54
1,cal-logaffine-pooled,-1,2022,10,rank_in_slot,0,54,0,54
1,cal-logaffine-position,-1,2022,1,rank_available,0,54,0,54
1,cal-logaffine-position,-1,2022,3,rank_available,-0.0246913580247,54,0,54
1,cal-logaffine-position,-1,2022,5,rank_available,0.0148148148148,54,0,54
1,cal-logaffine-position,-1,2022,10,rank_available,0.00185185185185,54,0,54
1,cal-logaffine-position,-1,2022,1,rank_in_slot,-0.0185185185185,54,0,54
