schema_version,population,rows,outcomes_known,outcomes_missing,in_target_pool,coverage,retention,declared_floor,meets_floor
1,current,75797,75797,0,75797,1,1,0.98,True
1,future,638509,638509,0,534745,1,0.83749015284,0.95,True
