bin,n,lam,actual,tilt,obs_ge1,model_ge1,shape_ge1,obs_ge2,model_ge2,shape_ge2,obs_ge3,model_ge3,shape_ge3
"(0.0, 0.05]",12726,0.03667770577264824,0.054612604117554614,1.4889863737955227,0.05186232909005186,0.03592408252118121,0.052954196643334575,0.0026716957410026715,0.0007420815803357509,0.0016207719429815737,7.857928650007858e-05,1.1396215014807836e-05,3.69319027462473e-05
"(0.05, 0.1]",24732,0.07335429066532338,0.08228206372311175,1.1217075780682149,0.0750040433446547,0.07045301770183679,0.07864461829994591,0.0068332524664402395,0.0028160184410109443,0.003517826961753241,0.0004043344654698367,8.318958121921752e-05,0.00011637443406334853
"(0.1, 0.15]",14114,0.12204920028715557,0.1251948420008502,1.0257735544869906,0.11251239903641774,0.11434132307345013,0.11709419174024624,0.01169052005101318,0.007351109404753638,0.0077163252841770036,0.0009919229134193,0.00034335259948913276,0.00036950942792454613
"(0.15, 0.2]",7869,0.17346489163793244,0.20078790189350618,1.1575132004959492,0.17537171178040412,0.1582821048798712,0.18064952694792638,0.023001652052357352,0.014207837485038037,0.01865085859182249,0.002033295209048164,0.0009242495142445634,0.0013983936134860243
"(0.2, 0.3]",10385,0.2460941217808103,0.26653827636013483,1.083074534374834,0.22792489167067886,0.21617725533719492,0.23170686241369245,0.03437650457390467,0.027205771652021416,0.03142904922497182,0.0038517091959557053,0.0025101401458846356,0.003130207468262831
"(0.3, 0.4]",6347,0.3468218793079267,0.35150464786513314,1.0135019410152288,0.29478493776587367,0.28983435239183447,0.2930652412962893,0.05262328659209075,0.0499555520298378,0.051138649666202685,0.00393886875689302,0.00632225177456531,0.006554549261850643
"(0.4, 0.6]",6277,0.48241243539602646,0.4373108172693962,0.906508176785275,0.3506452126812171,0.37682479742478536,0.34916204955690977,0.07567309224151665,0.0878411351895512,0.07457862861657265,0.010195953480962243,0.01527452251618026,0.011843013715233122
"(0.6, 0.9]",3030,0.7153616582950586,0.6,0.8387365929423681,0.44686468646864685,0.5008576589338598,0.443159868722752,0.12673267326732673,0.16380266316976752,0.12492818169498299,0.02145214521452145,0.040646794005740984,0.026496702921977613
"(0.9, 10.0]",857,1.087294353675743,0.7771295215869312,0.7147370157489935,0.5472578763127188,0.6443037411116854,0.5271299434558931,0.18203033838973162,0.29381754541957383,0.18531731393182893,0.042007001166861145,0.10555685770944379,0.05032623947080914
