schema_version,population,axis,level,horizon,n,outcomes_known,outcome_coverage,players,seasons,forecast_mean,planning_mean,actual_mean,forecast_over_actual,played_fraction,deviance_positive_rates,zero_lam_n,zero_lam_positive_outcome_n,zero_lam_outcome_tds
1,all_eligible,rate_bin,"(0.05, 0.1]",4-6,55380,47321,0.854478150957,2101,15,0.0732275353419,0.0679543655804,0.105999450561,0.690039603313,0.677437078675,0.531005550837,0,0,0
1,all_eligible,rate_bin,"(0.1, 0.15]",4-6,36484,31453,0.862103935972,1955,15,0.122686942412,0.113847047284,0.168696149811,0.72810955056,0.702667472101,0.714509882323,0,0,0
1,all_eligible,rate_bin,"(0.15, 0.2]",4-6,23351,20876,0.894008821892,1442,15,0.173180791834,0.160719635701,0.219821804943,0.788424006248,0.692326116114,0.837422400092,0,0,0
1,all_eligible,rate_bin,"(0.2, 0.3]",4-6,25934,23233,0.895851006401,1164,15,0.244137129952,0.226549070812,0.273619420652,0.891534602139,0.825248568846,0.873001592047,0,0,0
1,all_eligible,rate_bin,"(0.3, 0.4]",4-6,14290,12772,0.893771868439,744,15,0.346289723369,0.321344418203,0.357109301597,0.970145814737,0.919041653617,0.933494029677,0,0,0
1,all_eligible,rate_bin,"(0.4, 0.6]",4-6,13879,12493,0.900136897471,539,15,0.482813706791,0.448070665645,0.424717841992,1.13658910596,0.937004722645,0.974198674249,0,0,0
1,all_eligible,rate_bin,"(0.6, 0.8]",4-6,5992,5383,0.898364485981,345,15,0.68638935305,0.637004729881,0.543005758871,1.26425259425,0.911016161991,1.1346207961,0,0,0
1,all_eligible,rate_bin,"(0.8, 1.0]",4-6,3197,2875,0.89928057554,270,15,0.893942120392,0.829569339601,0.637217391304,1.40274085099,0.827826086957,1.26983660957,0,0,0
1,all_eligible,rate_bin,"(1.0, inf]",4-6,15084,13837,0.91732962079,224,15,1.71862040726,1.59492052255,1.39538917395,1.23993875519,0.839416058394,1.36630450506,0,0,0
1,all_eligible,availability,full,4-6,220096,193238,0.877971430648,2411,15,0.292848995058,0.271767183457,0.295423260435,1.01848994999,0.747363355034,0.772368375486,0,0,0
1,all_eligible,overall,all,7+,363276,304284,0.837611072573,2331,15,0.29494021244,0.252986190972,0.301221884818,1.00882074374,0.75512021664,0.818298052479,0,0,0
1,all_eligible,position,QB,7+,51416,51416,1,260,15,0.816629146393,0.701365521239,0.777189979773,1.05074585062,0.549770499455,1.47187264404,0,0,0
1,all_eligible,position,RB,7+,76078,76078,1,564,15,0.250326563339,0.21490103184,0.259023633639,0.966423641818,0.776886879256,0.782216233684,0,0,0
1,all_eligible,position,WR,7+,110781,110781,1,826,15,0.197731574696,0.169716247824,0.20728283731,0.953921594585,0.851283162275,0.697659760407,0,0,0
1,all_eligible,position,TE,7+,66009,66009,1,443,15,0.144350510627,0.123940013446,0.136769228439,1.05543119805,0.728597615477,0.553262557996,0,0,0
1,all_eligible,rate_bin,"(-0.001, 0.05]",7+,36939,30283,0.819811039822,1227,15,0.0391168705356,0.0336707586484,0.0950037975102,0.412318461118,0.628537463263,0.55551687699,0,0,0
1,all_eligible,rate_bin,"(0.05, 0.1]",7+,91509,74351,0.812499317007,2073,15,0.0738972763141,0.0634027178966,0.120374978144,0.614133435671,0.695215935226,0.590267121356,0,0,0
1,all_eligible,rate_bin,"(0.1, 0.15]",7+,64124,52628,0.820722350446,1945,15,0.122667130059,0.105026263047,0.181481340731,0.677157446651,0.721593068329,0.756623643607,0,0,0
1,all_eligible,rate_bin,"(0.15, 0.2]",7+,39247,33556,0.854995286264,1455,15,0.173115309298,0.148443652246,0.228066515675,0.759382382797,0.696090118012,0.860675081516,0,0,0
1,all_eligible,rate_bin,"(0.2, 0.3]",7+,44379,38245,0.861781473219,1159,15,0.244410536802,0.209473967433,0.282285266048,0.865281524454,0.817727807557,0.892834871399,0,0,0
1,all_eligible,rate_bin,"(0.3, 0.4]",7+,24100,20613,0.85531120332,778,15,0.345747415204,0.296312550005,0.345849706496,0.999750532075,0.911803230971,0.926359569371,0,0,0
1,all_eligible,rate_bin,"(0.4, 0.6]",7+,23532,20229,0.859637939827,568,15,0.483797078291,0.414804721114,0.419496762074,1.15330818447,0.933610163626,0.976702693092,0,0,0
1,all_eligible,rate_bin,"(0.6, 0.8]",7+,9367,8121,0.866979822782,374,15,0.686652004083,0.589806367905,0.534293806182,1.28470762117,0.91158724295,1.12316622471,0,0,0
1,all_eligible,rate_bin,"(0.8, 1.0]",7+,5120,4399,0.8591796875,278,15,0.894133093709,0.768423917961,0.60786542396,1.47092616959,0.803137076608,1.30470154069,0,0,0
1,all_eligible,rate_bin,"(1.0, inf]",7+,24959,21859,0.875796305942,240,15,1.71094921896,1.46800139722,1.33592570566,1.29238707,0.81531634567,1.45135097199,0,0,0
1,all_eligible,availability,full,7+,363276,304284,0.837611072573,2331,15,0.29494021244,0.252986190972,0.301221884818,1.00882074374,0.75512021664,0.818298052479,0,0,0
1,available,overall,all,0,103027,103027,1,2550,15,0.286925402398,0.286925402398,0.279586904404,1.02624764565,0.738883981869,0.697733706315,0,0,0
1,available,position,QB,0,16690,16690,1,313,15,0.797368551345,0.797368551345,0.748951467945,1.06464648976,0.526482923907,1.13516097921,0,0,0
1,available,position,RB,0,26017,26017,1,703,15,0.239126551872,0.239126551872,0.23515393781,1.01689367441,0.767767229119,0.676139183121,0,0,0
1,available,position,WR,0,38104,38104,1,1043,15,0.183681061085,0.183681061085,0.192237035482,0.95549258042,0.835240394709,0.633906510055,0,0,0
1,available,position,TE,0,22216,22216,1,536,15,0.136507186681,0.136507186681,0.1288260713,1.05962392009,0.69936082103,0.503875001404,0,0,0
